,user,comments
104,dg,ㅋㅋㅋㅋㅋ
105,koe***,"일상생활 가능한가,,,,, 전혀 어울리지도 않는 노래에 그런 단어를 떠올리다니,,,,"
106,shw***,아존나웃기네 ㅋㅋㅋ
107,rjm***,아 나만 그런줄ㅜㅜㅜㅜㅋㅋㅋㅋㅋㅋㅋ 노래는 진짜 좋은데 들을때마다 너무 빵터짐ㅋㅋㅋㅋㅋ
108,ppi***,나두 그생각
109,베티,저도!!
110,nya***,헐 진짜네요
111,쮸쮸쮸,저두요ㅎㅎㅎ
112,min***,저도 또오해영 생각났는데! 뭔가 그 드라마 특유의 ost느낌ㅋㅋ
113,chu***,또오해영 ㅠㅠㅠ 서현진 이번에 차기작 나오니까 많이 봐주세요🥺🥺💖
114,Gonia,다른사 람~ 할 때 음색 개미쳤는데
115,y08888,하기나해 튼줄 알았는데 officially missing you 널생각해 다나오네 뭐야이거
116,cry***,목소리 사랑스러운건 여전하네
117,newt,나만 가사 들리는건가 많이 좋아진거같은데
118,loy***,오피셜리 미싱유가 언뜻 들리는 익숙하고 좋은멜로디
119,ela***,무지개에서 내려올 생각을 안하네
120,dongjin1992,바~~보~션샤인~~
121,곡곡고,좋긴 좋은데 여러 노래 짬뽕된 느낌이라 봄노래라는 특징이 사라져서 아쉽다... 봄 연금 될수도 있었을 텐데 officially missing you랑 봄이 좋냐? 가 동시에 들려서 봄마다 듣고 싶다는 생각은 안 들어... 그냥 딱 노래만 좋다 정도
122,얌,10 cm의 여자버전 봄이좋냐!!
123,su1***,와 너무 좋다ㅠㅠ
124,ᴄᴏᴍᴇᴀsғᴀʟʟ,나는 네 곁에 있고 싶어 “딱 붙어서” 이 부분이 너무 좋네요..
125,ato***,노래 왜이리 달달해??♡♡♡
126,쥬니앨리스,와 진짜 너무 좋다...역시 갓볼빨간
127,ais***,계절 봄이 아니라 나만보고싶다 인건가🤔
128,ㄹㄹㄹㄹ,놀토에서 2곡 홍보 원샷보고 알았음ㅋㅋㅋ
129,sinus,엌ㅋㅋㅋㅋㅋㅋ진짜네
130,^^^,무지개가 뭐져?
131,곡곡고,노파심에 달아두는데 앨범 설명 봄. 그거랑은 별개로 봄 느낌이 더 많이 났으면 벚꽃연금처럼 될수도 있을 텐데 볼싸니까! 아깝다는 거
132,goz***,봄이좋냐 ㅇㅈ
133,고양위,거기가 킬포아닌가요
134,ᴄᴏᴍᴇᴀsғᴀʟʟ,"맞는 것 같아요! 앨범 설명 글 읽어보시면 “좋아하는 그가 나만 봐 줬으면 좋겠는 ‘나만, 봄’. 그래서 나만 갖고 싶은 ‘나만 봄.’” 이라고 적혀있습니다 ㅎㅎ"
135,신애옹,노래 완젼 좋다 ㅜㅠㅠㅠㅠㅜㅠㅠ
136,zce***,너무 멋지다 ㅠㅠ❤
137,푸른소금물,볼빨간 노래가 멜로디나 창법이 좋은건 전에도 알았지만 작사 능력이 정말 좋은건 이곡 덕분에 알게 됐네요...정말 공감가는 가사라 좋습니다.
138,dle***,듣자마자 어디서 들어본거 같았는데딱 Officially Missing You 느낌이네
139,JJJJA,들을 노래 많아서 행복해 죽을지경... 뭔일이야 이거
140,teh***,올려드리자
141,DjHwang,봄봄봄에서 갈아탄다
142,min***,와 진짜 매번 이런 곡을 어케 만들지.. 이 시대 최고의 싱어송라이터다
143,ㅎ,넘모 조아요 ㅠㅠ 볼사 짱 💓💓💓💓💗
144,dpr***,좋긴좋은데 뭔가 확 오는게 없음
145,dhf***,커버사진부터 넘귀엽다ㅠㅜㅜㅠㅜㅜ흑 볼사사랑해
146,🥺,신기한 발음ગ 매력이긴하죠?
147,******,와 요즘 플레이리스트 개 행복해
148,g,제목은 나만 봄인데 가사는 나만빼고 봄이네..딱 내얘기라 너무 슬프다...ㅠㅠ
149,hskim6366,딱↗️↗️붙어서↘️↗️↘️↗️
150,ㅇㅇ,와 어디서 들었다 싶었는데 이거였구나
151,******,딱 붙어서어~부분 너무 좋음
152,mks***,이부분 너무 좋음
153,KBS,나도 이부분 넘 좋음 ㅎㅎ
154,딸기우유,발음 음색 원래 매력적인건 알지만 이번노래는.. 진짜 뭐라고하는지 가사가 잘 안들리네요..ㅠㅠ
155,DAT MUSIC,드라마 ost같다
156,jyc0606,10센치 봄이 좋냐??랑 들으면 기분 이상할듯
157,여믕,제목도 봄이고 가사도 봄인데 뭔가 가을이 더 잘 어울리는 느낌이넹뭔가 외로운 사랑스러움??
158,gar***,오셨군요
159,sou***,와아아아아아아아아
160,vjz***,하트팡!!! 좋아요🌸🌸🌸💕
161,ddd,오늘 독감이라고 검사결과 나왔는데 어느새 본능적으로 벌떡 일어나서 볼빨간 사춘기 노래 듣고 있네요 눈물나네 사랑해요
162,jws***,약간 노래 분위기나 가사가 십센치 봄이 좋냐랑 비슷한듯 ㅎ.ㅎ
163,스타벅스,진짜 봄에 딱 어을리는 노래인듯 개죠아!!
164,노래트러줘,아 ㅋㅋㅋㅋ 뮤비에 우지윤 머야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짱웃갸
165,바쿄신,미쳤나봐;; 너무좋아
166,csh3824,음색실호ㅏ냐....
167,seu***,봄에 어울리는노래!
168,gogo0909,가사는 봄을 부르지만. 봄 느낌은 안난다.
169,하이,ㅇㄱㄹㅇ
170,lov***,화살 맞는 연기 사극뺨치네여... 졸귀탱
171,ᴄᴏᴍᴇᴀsғᴀʟʟ,"앨범 설명 글 읽어보시면 “좋아하는 그가 나만 봐 줬으면 좋겠는 ‘나만, 봄’. 그래서 나만 갖고 싶은 ‘나만, 봄.’” 이라고 적혀있습니다 ㅎㅎ 계절 봄 만큼 다른 의미의 봄을 뜻하는 거죠 ~ 해석하는 이마다 차이가 다를테지만, 그래도 볼사도 나름 열심히 작곡 작사했는데 설명 글을 읽어보심을 추천드려요 ㅎㅎ"
172,현우,ㅈㄴ봄인데그냥..
173,gogo0909,yoo 봄 시즌 저격송 인데 연주부분에서 봄 표현이 부족하다는 말입니다. 갠적으로 벚꽃엔딩이랑 러브블러썸이 연주를 봄 티나게 표현을 잘한것 같아요. 편곡자가 좀 더 분발하셨어도 괜찮았겠다. 이말이에요. 노래가 안좋다는게 아닙니다^^ㅋ
174,다람쥐헌쳇바퀴에타고파,벚꽃엔딩이 가는 봄 느낌이라면 이 노래는 유채꽃에서 뛰어놀면서 오는 봄 느낌 나는구만...
175,바쿄신,그럼 이게 여름 가을 겨울이냐?? 무슨 거의 레전드노래 벚꽃엔딩이랑 비교를 처 하고있냐 ㅋㅋ
176,뀨,"멜로디나 사용된 코드도 마냥 밝지는 않고, 특히 가사는 봄인데 너가 없어서 아쉽다고 말하고 있음. 노래를 제대로 보지도 듣지도 않고 건실한 피드백하는 사람한테 욕을 박고 있으니 쯧..."
177,xha***,플라워 선샤인 부분부터는 대놓고 봄인데 ㅋㅋ 벚꽃엔딩 들으면서 설레던 느낌 그 이후로 한 번도 못느꼈는데 이 노래 듣고 비슷한 느낌 느꼈네요 저는.
178,khs***,댓글에 목숨거셨음? 혼자 뭘 그리 열을 내시나...
179,이바돔놀이방서열1엄준식,lgm***신고 수고
180,펜돌2,이사람 느끼는거 다르고 저사람 느끼는거 다를수 있죠.. 싸울 문젠 아닌듯
181,******,걍 지가 평소에 열등감에 쩔어있어서 좋아요 수 좀 많이 나오니까 댓글에 집착하고 과민반응 하는 듯
182,쪼꼬우U,볼4 팬이지만 이런 댓글 이해한다. 원래 노래를 감상하는 사람이 노래를 해석할 때 자신의 가치관 삶의 배경 현재의 기분상태를 전부 반영해서 하는 것이니 저 사람이 기분이 안 좋거나 평소에 비판적 사고나 남들이 다 좋다할 때 싫다고 하고 싶어하는 그런 성격이라면 그렇게 해석될 수 있는 거지 거따 대고 이래라 저래라 하는 건 아닌 듯 나도 기분이 엄청 안 좋을 때 무슨 음악을 듣든 슬플 수 있듯이 무튼 난 이 음악 너무 좋다 사랑함 볼4 ㅎ
183,dnd***,가사는 봄을 안부르는데 그냥 대놓고 봄느낌이라 신기한데 ㅋㅋㅋㅋㅋㅋㅋ
184,gar***,사람마다 자신이 곡을 듣고 생각하는게 있는거고 그걸 댓글로 적어서 표출하는 것일 뿐인데 다들 너무 화내지는 맙시다. 저도 러볼리입니다 이번 앨범 노래 좋아요! 근데 그건 제 의견일 뿐이고 작성자 분의 의견은 이렇다는 것이니 혹시 불편하시다면 아 그렇구나 이런 사람도 있구나 하고 넘어가면 될 일이죠. 그리구 작성자님 이번에 seattle alone 약간 실험적 느낌이라 꽤괜입니다 들어보세여
185,Wootii_717,비응신
186,^^^,그리고 `봄 느낌은 안난다`은 약간 단정짓는것 처럼 보이니깐 `제 생각엔~`이라고 하시거나 `이건 어디까지나 제 생각이니 욕하지 말아주세요`이런 식으로 댓을 다는게 어떨까요?
187,^^^,lgm님 패드립은 아니라고 생각합니다.자기 부모를 욕하면 어떡누가 기분이 안 나쁘겠어요?그건 시비를 더 유발하는 행동 같아요
188,gogo0909,pmj 가정교육 제대로 안받고 자랐으니 욕을 하겠죠. 자식이 욕을 하고 있는데 어느 부모가 안쪽팔리겠음? 자신이 욕을 하면 부모얼굴에 먹칠한다고 생각은 하고 해야죠? 전 욕은 안했거든요? 패드립이요? 당하는 쪽만 생각하지 마시고 당해도 싸는 행동을 했다고 생각하시길 바랍니다.
189,gogo0909,pmj 그리고 리뷰라는거 자체가 내 생각을 적는것 입니다. 개인적으로 남긴 댓글이 열폭해서 시비터는 사람들이 문제가 없나 생각을 먼저 해보시길 바랍니다.
190,gogo0909,pmj 댓글 맨아래 보세요 제가 추가적으로 오해의소지가 있는것 같아 악플이 아니라는 댓글을 다시 달았습니다. 이정도 까지 했는데 시비터는 사람들이 문제가 아니라고 생각하시진 않겠죠.
191,^^^,그렇군요.....lgm님말이 틀린건 아닌것 같아요그리고 저한테는 말 이쁘게 해주셔서 감사합니다저lgm님 마음 이해가요.언제 제 댓에 시비걸은 사람 있어서 엄청고생했어요ㅠㅠ또 악플달리면 도와드릴게요!그리고 제 생각만 말해세 죄송합니다
192,y45***,완전 봄인데
193,ela***,4월 음악차트 피터지겠네 ㅋㅋ 어제는 아이즈원 엑소 첸나오더니 오늘은 볼사 ... 금요일에는 블핑 중순에 방탄 말에 트와... ㄹㅇ전쟁터
194,jjw***,와 진짜 좋다..
195,저별,나만 봄 즐길거야
196,킄,와 진짜 노래 존좋....
197,kev***,봄을 책임져주시네
198,Zoom,따뜻한 봄바람 부는것처럼 너무한거 아닌가요?
199,ㅎ,바로 1위다 이번엔 봄이라니 ㅎㅎ
200,퓨리,트리플 타이틀이라 기대안했는데 존좋인거 실화냐
201,rkq***,하 너무 좋다
202,jt,기다렸다고 젠자아아아앙!!
203,랄라랄랄라라랄,믿듣볼춘기🥰🥰
204,asc***,사재기 벌레들 쏙 들어가서 안보이쥬~!!!
205,ela***,사재기들 지금나오면 방탄팬 블핑팬 아이즈원팬 엑소팬 트와팬한테 매장당해서 좀 사려야됨 ㅋㅋ
206,lov***,와 블핑 볼싸못이기네 ㄷㄷ. . 1등굳건한 볼싸 클라스
207,댄스대장포그바,대학축제 전이라 박터지죠 행사도 5월부터 워낙많으니 컴백안하면 손해
208,sal***,키ㅡㅡㅡㅡㅡ타
209,jde***,어이어이 믿고 있었다고오오!! 젠자아아앙!!
210,dlx***,젠자아아아아앙 할때 칼바람나락 영혼아저씨같다
